Designator,Mid X,Mid Y,Layer,Rotation
U13,32.8,32.6,Top,90
U14,47.98,82.74,Top,0
U16,58.9,76.8,Top,90
U18,59.2,35.6,Top,0
U19,28.72,82.7,Top,180
U20,32.82,82.7,Top,180
U21,11.5,19.5,Top,0
U22,18,5.4,Top,270
U23,-2.9,19.8,Top,180
U24,21.5,5.6,Top,270
UART2_RX_M0,32.7,86.5,Top,0
UART2_TX_M0,26.9,86.5,Top,0
USB20_HOST0_N,46,30.8,Top,180
USB20_HOST0_P,47,30.8,Top,90
USB20_HOST1_N,11.6,47,Top,270
USB20_HOST1_P,12.6,47,Top,270
USB_OTG_ID,41.3,45.4,Top,180
VBUS,6.86,11.71,Top,0
VCC_RTC,56,41.4,Top,90
WIFI_PWR_EN,48.2,26.2,Top,0
WL_DIS/PWM4_M0,18.2,83.67,Top,270
Y1,-7,55.7,Top,180
Y2,57.4,40.1,Top,180
